prompt,completion
Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data (e.g. aircraft manifest) provided to the piloting controller indicating the expected safe departure state of the aircraft was incompletely specified but is assumed by the piloting controller to be complete. The piloting controller therefore updates its process model of the desired safe departure state of the aircraft based on this wrong or incomplete information.\n,instruction: The flight operations system must confirm that data provided to it about the expected safe departure state of the aircraft has been fully specified.
Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The update was not provided to the piloting controller due to poor communication.\n,instruction: The flight operations system must ensure that all relevant personnel are aware of any changes to the expected safe departure state of the aircraft.
Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data is missed or dropped before it can be processed by the piloting controller. This could occur because the piloting controller was preoccupied and unable to process the incoming data or the piloting controller was unaware of the arrival of the data to be processed.\n,instruction: The flight operations system must process all feedback to make a deliberate decision if it is to be ignored or dropped.
"Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: Under the time constraints of needing to depart for a mission, the piloting controller either decides to or is told by another controller to expedite departure checks. This could be the result of unsafe operational adaptation to speed up the time required to prepare the aircraft for departure or the result of a capability to override or otherwise influence the checks. As a result, the piloting controller does not perform a complete update of its process model of the state of the aircraft and therefore might believe that, based on what it did check, the aircraft is in a safe departure state.\n",instruction: The flight operations system must confirm that all aspects of the aircraft state match the safe departure state prior to departure.
"Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The piloting controller had the correct process model of the state of the aircraft and the expected safe departure state at the point that the aircraft was checked. However, prior to departure, the state of the aircraft changes and the piloting controller does not update the process model, believing that there is no need to check the state of the aircraft again. As a result, they are unaware that the aircraft is no longer in a safe departure state.\n",instruction: The flight operations system must always be able to determine if the state of the aircraft changes between the time that it was checked and departure.
Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data (e.g. aircraft manifest) provided to the piloting controller indicating the expected safe departure state of the aircraft was incompletely specified but is assumed by the piloting controller to be complete. The piloting controller therefore updates its process model of the desired safe departure state of the aircraft based on this wrong or incomplete information.\n,instruction: The flight operations system must confirm that data provided to it about the expected safe departure state of the aircraft has been fully specified.
Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The update was not provided to the piloting controller due to poor communication.\n,instruction: The flight operations system must ensure that all relevant personnel are aware of any changes to the expected safe departure state of the aircraft.
Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data is missed or dropped before it can be processed by the piloting controller. This could occur because the piloting controller was preoccupied and unable to process the incoming data or the piloting controller was unaware of the arrival of the data to be processed.\n,instruction: The flight operations system must process all feedback to make a deliberate decision if it is to be ignored or dropped.
"Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The required data is not made available to the piloting controller even though it is collected. Examples of this include warnings from the aircraft subsystems that are buried deep in menus on the display interfaces (if the piloting controller is human), data not being distributed to the automation (if the piloting controller is automated) or the piloting controller not having access to manifests, maintenance logs or the status of preflight activities such as configuration updates.\n",instruction: The flight operations system must ensure that it is receiving all data required to determine the expected safe departure state and determine the current state of the aircraft under all Degraded visual environment conditions at all times.
"Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: Alternatively, the data is made available but the piloting controller does not check those data collection mechanisms (e.g. maintenance reports, warning messages) prior to departure.\n",instruction: The flight operations system must ensure that it is receiving all data required to determine the expected safe departure state and determine the current state of the aircraft under all Degraded visual environment conditions at all times.
"Unsafe control action: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: For maintenance or configuration tasks, an update could have been made (or there was a delay in updating records) showing an outstanding task or issue after the piloting controller has checked the data collection mechanisms. If the piloting controller is not notified of this update, then the piloting controller does not have another opportunity to update their process model of the state of the aircraft.\n",instruction: The flight operations system must ensure that flight crews are aware of the most updated state of any maintenance tasks on the aircraft.
