prompt,completion
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver was not adequately trained.\n,instruction:Sufficient driver training is required.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver did not implement the control algorithm.\n,instruction:The driver is required to know the control algorithm in depth.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver is inexperienced.\n,instruction:The driver must have experience or with an experienced escort if he is new.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver does not remember the order of the algorithm of actions.\n,instruction:The operation algorithm must appear in front of the driver in writing on paper or on a dedicated tablet.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The locomotive driver fell asleep.\n,instruction:There must be an active auxiliary system to check driver alertness in the driver's cabin.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver received a personal phone call..\n,instruction: All distractions in the cockpit must be removed or reduced.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver felt severe pain in his body.\n,instruction: In copying cars there must be an assistant driver accompanying the driver for any emergency.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: Excessive fatigue of the driver (lack of vigilance).\n,instruction: In copying cars there must be an assistant driver accompanying the driver for any emergency.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver assumed that the track was free.\n,instruction: The driver must receive information from the control room and/or from copies in the field about the condition of the track.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver rushed to finish his last trip to the shift thinking that everything was free.\n,instruction:The driver must perform the task in the correct order and at the correct time.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: A problem of detecting the track condition.\n,instruction: The driver must verify in his wireless connection with the control center and with copies in the field the condition of the track before and during the operation.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: A problem with the driver's field of vision..\n,instruction: The driver must verify in his wireless connection with the control center and with copies in the field the condition of the track before and during the operation.
UCA: The driver of the copying locomotive makes a trip while the condition of the track does not allow a continuous trip. lossScenario: The driver didn't know he was going too fast - the speedometer failed..\n,instruction: The driver must drive at the permitted speed when performing the task while monitoring the speedometer he has on the dashboard in the driver's cabin.
UCA: copyist gives a drive command when the condition of the brace does not allow for safe travel. lossScenario: copyist has not received sufficient training.\n,instruction: Adequate training is required to copyist.
