prompt,completion
UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data (e.g. aircraft manifest) provided to the piloting controller indicating the expected safe departure state of the aircraft was incompletely specified but is assumed by the piloting controller to be complete. The piloting controller therefore updates its process model of the desired safe departure state of the aircraft based on this wrong or incomplete information.\n,instruction: The flight operations system must confirm that data provided to it about the expected safe departure state of the aircraft has been fully specified.
UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The update was not provided to the piloting controller due to poor communication.\n,instruction: The flight operations system must ensure that all relevant personnel are aware of any changes to the expected safe departure state of the aircraft.
UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data is missed or dropped before it can be processed by the piloting controller. This could occur because the piloting controller was preoccupied and unable to process the incoming data or the piloting controller was unaware of the arrival of the data to be processed.\n,instruction: The flight operations system must process all feedback to make a deliberate decision if it is to be ignored or dropped.
"UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The required data is not made available to the piloting controller even though it is collected. Examples of this include warnings from the aircraft subsystems that are buried deep in menus on the display interfaces (if the piloting controller is human), data not being distributed to the automation (if the piloting controller is automated) or the piloting controller not having access to manifests, maintenance logs or the status of preflight activities such as configuration updates.\n",instruction: The flight operations system must ensure that it is receiving all data required to determine the expected safe departure state and determine the current state of the aircraft under all Degraded Visual Environment conditions at all times.
"UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: Alternatively, the data is made available but the piloting controller does not check those data collection mechanisms (e.g. maintenance reports, warning messages) prior to departure.\n",instruction: The flight operations system must ensure that it is receiving all data required to determine the expected safe departure state and determine the current state of the aircraft under all Degraded Visual Environment conditions at all times.
UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data (e.g. aircraft manifest) provided to the piloting controller indicating the expected safe departure state of the aircraft was incompletely specified but is assumed by the piloting controller to be complete. The piloting controller therefore updates its process model of the desired safe departure state of the aircraft based on this wrong or incomplete information.\n,instruction: The flight operations system must confirm that data provided to it about the expected safe departure state of the aircraft has been fully specified.
UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The update was not provided to the piloting controller due to poor communication.\n,instruction: The flight operations system must ensure that all relevant personnel are aware of any changes to the expected safe departure state of the aircraft.
UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The data is missed or dropped before it can be processed by the piloting controller. This could occur because the piloting controller was preoccupied and unable to process the incoming data or the piloting controller was unaware of the arrival of the data to be processed.\n,instruction: The flight operations system must process all feedback to make a deliberate decision if it is to be ignored or dropped.
"UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: The required data is not made available to the piloting controller even though it is collected. Examples of this include warnings from the aircraft subsystems that are buried deep in menus on the display interfaces (if the piloting controller is human), data not being distributed to the automation (if the piloting controller is automated) or the piloting controller not having access to manifests, maintenance logs or the status of preflight activities such as configuration updates.\n",instruction: The flight operations system must ensure that it is receiving all data required to determine the expected safe departure state and determine the current state of the aircraft under all Degraded Visual Environment conditions at all times.
"UCA: Piloting Controller provides actuator movements during takeoff when the aircraft is not in a safe departure state. LossScenario: Alternatively, the data is made available but the piloting controller does not check those data collection mechanisms (e.g. maintenance reports, warning messages) prior to departure.\n",instruction: The flight operations system must ensure that it is receiving all data required to determine the expected safe departure state and determine the current state of the aircraft under all Degraded Visual Environment conditions at all times.
